SBC,~BOOT,BEI,~A12-15,~A16-19,A15,A0,R/~W,.~DMAR,.BEI,.~A12-15,.A0,.R/~W,PHI2,,~WE0,~WE1,.~DMAA
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,1,,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,1,1,,1,1,1
1,0,0,0,0,0,0,0,0,0,1,1,0,0,,1,1,1
1,0,0,0,0,0,0,0,0,0,1,1,0,1,,1,1,1
1,0,0,0,0,0,0,0,0,0,1,1,1,0,,1,1,1
1,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,1,,1,1,1
1,0,0,0,0,0,0,0,0,1,0,0,1,0,,1,1,1
1,0,0,0,0,0,0,0,0,1,0,0,1,1,,1,1,1
1,0,0,0,0,0,0,0,0,1,0,1,0,0,,1,1,1
1,0,0,0,0,0,0,0,0,1,0,1,0,1,,1,1,1
1,0,0,0,0,0,0,0,0,1,0,1,1,0,,1,1,1
1,0,0,0,0,0,0,0,0,1,0,1,1,1,,1,1,1
1,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,1,0
1,0,0,0,0,0,0,0,0,1,1,0,0,1,,1,1,0
1,0,0,0,0,0,0,0,0,1,1,0,1,0,,1,1,0
1,0,0,0,0,0,0,0,0,1,1,0,1,1,,1,1,0
1,0,0,0,0,0,0,0,0,1,1,1,0,0,,1,0,0
1,0,0,0,0,0,0,0,0,1,1,1,0,1,,1,1,0
1,0,0,0,0,0,0,0,0,1,1,1,1,0,,1,1,0
1,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,1,1
1,0,0,0,0,0,0,0,1,0,0,0,0,1,,1,1,1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,,1,1,1
1,0,0,0,0,0,0,0,1,0,0,0,1,1,,1,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,,1,1,1
1,0,0,0,0,0,0,0,1,0,0,1,0,1,,1,1,1
1,0,0,0,0,0,0,0,1,0,0,1,1,0,,1,1,1
1,0,0,0,0,0,0,0,1,0,0,1,1,1,,1,1,1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,,1,1,1
1,0,0,0,0,0,0,0,1,0,1,0,0,1,,1,1,1
1,0,0,0,0,0,0,0,1,0,1,0,1,0,,1,1,1
1,0,0,0,0,0,0,0,1,0,1,0,1,1,,1,1,1
1,0,0,0,0,0,0,0,1,0,1,1,0,0,,1,1,1
1,0,0,0,0,0,0,0,1,0,1,1,0,1,,1,1,1
1,0,0,0,0,0,0,0,1,0,1,1,1,0,,1,1,1
1,0,0,0,0,0,0,0,1,0,1,1,1,1,,1,1,1
1,0,0,0,0,0,0,0,1,1,0,0,0,0,,1,1,1
1,0,0,0,0,0,0,0,1,1,0,0,0,1,,1,1,1
1,0,0,0,0,0,0,0,1,1,0,0,1,0,,1,1,1
1,0,0,0,0,0,0,0,1,1,0,0,1,1,,1,1,1
1,0,0,0,0,0,0,0,1,1,0,1,0,0,,1,1,1
1,0,0,0,0,0,0,0,1,1,0,1,0,1,,1,1,1
1,0,0,0,0,0,0,0,1,1,0,1,1,0,,1,1,1
1,0,0,0,0,0,0,0,1,1,0,1,1,1,,1,1,1
1,0,0,0,0,0,0,0,1,1,1,0,0,0,,1,1,1
1,0,0,0,0,0,0,0,1,1,1,0,0,1,,1,1,1
1,0,0,0,0,0,0,0,1,1,1,0,1,0,,1,1,1
1,0,0,0,0,0,0,0,1,1,1,0,1,1,,1,1,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,,1,1,1
1,0,0,0,0,0,0,0,1,1,1,1,0,1,,1,1,1
1,0,0,0,0,0,0,0,1,1,1,1,1,0,,1,1,1
1,0,0,0,0,0,0,0,1,1,1,1,1,1,,1,1,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,,1,1,1
1,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,1,1
1,0,0,0,0,0,0,1,0,0,0,0,1,1,,1,1,1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,,1,1,1
1,0,0,0,0,0,0,1,0,0,0,1,0,1,,1,1,1
1,0,0,0,0,0,0,1,0,0,0,1,1,0,,1,1,1
1,0,0,0,0,0,0,1,0,0,0,1,1,1,,1,1,1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,,1,1,1
1,0,0,0,0,0,0,1,0,0,1,0,0,1,,1,1,1
1,0,0,0,0,0,0,1,0,0,1,0,1,0,,1,1,1
1,0,0,0,0,0,0,1,0,0,1,0,1,1,,1,1,1
1,0,0,0,0,0,0,1,0,0,1,1,0,0,,1,1,1
1,0,0,0,0,0,0,1,0,0,1,1,0,1,,1,1,1
1,0,0,0,0,0,0,1,0,0,1,1,1,0,,1,1,1
1,0,0,0,0,0,0,1,0,0,1,1,1,1,,1,1,1
1,0,0,0,0,0,0,1,0,1,0,0,0,0,,1,1,1
1,0,0,0,0,0,0,1,0,1,0,0,0,1,,1,1,1
1,0,0,0,0,0,0,1,0,1,0,0,1,0,,1,1,1
1,0,0,0,0,0,0,1,0,1,0,0,1,1,,1,1,1
1,0,0,0,0,0,0,1,0,1,0,1,0,0,,1,1,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,,1,1,1
1,0,0,0,0,0,0,1,0,1,0,1,1,0,,1,1,1
1,0,0,0,0,0,0,1,0,1,0,1,1,1,,1,1,1
